"BC_HKB2119_1690_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0143_3006_T"	"HKB0211_3002_T"	"HKB0233_3006_T"	"BC_HKB0662_1294_T"	"BC_HKB0913_1654_T"	"HKB0004_3006_T"	"HKB0125_3006_T"	"HKB0160_3000_T"	"BC_HKB0075_849_T"	"BC_HKB0187_1214_T"	"BC_HKB0199_1263_T"	"BC_HKB0561_1308_T"	"BC_HKB0588_M1349_T"	"BC_HKB0668_1298_T"	"BC_HKB0689_M1326_T"	"BC_HKB0754_1481_T"	"BC_HKB0759_1488_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0833_1552_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0921_1575_T"	"BC_HKB0922_1579_T"	"BC_HKB0923_1584_T"	"BC_HKB1384_1734_T"	"BC_HKB2109_1628_T"	"BC_HKB2123_1695_T"	"HKB0044_3006_T"	"HKB0089_3001_T"	"HKB0106_3006_T"	"HKB0162_3006_T"	"HKB0668_3000_T"	"HKB0692_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0555_1321_T"	"BC_HKB0728_1447_T"	"BC_HKB0733_1459_T"	"BC_HKB0775_1470_T"	"BC_HKB0838_1563_T"	"BC_HKB1372_1697_T"	"BC_HKB2113_1657_T"	"HKB0065_3006_T"	"HKB0086_3006_T"	"HKB0157_3006_T"	"HKB0208_3006_T"	"HKB0210_3006_T"	"HKB0677_3000_T"
"OR5D14"	0	0	0.0840642647884745	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100169752"	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49569516262407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C4"	0	0	0.150559676575381	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05658352836637	0	0	0	0	0	1.91073266190291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FKSG73"	2.27500704749987	0.070389327891398	0	0	0.070389327891398	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7311832415722	0	0	0	0	0	0	0	2.65992455840238	0	1.63691458035588	0	0	0	0	0	0	0	0	0	0	0
"HNRNPCL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR51V1"	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4C16"	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR52A1"	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C3"	0	0.0565835283663675	0	0.070389327891398	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR51G1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20789285164133	0.978195629681652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP12.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM99A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM24A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22650852980868	0	0	0	0	0	0	0	0	0	0	1.4905701304462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC254312"	0	0.0565835283663675	0	0	0	0	2.98913900736823	0	0	0	0	0	0	4.68985823631925	0	0	0	0	0	0	4.05311133645956	1.4541758931858	0	1.57046293102604	1.26903314645524	1.25096157353322	1.32768736417605	0	0	0	0	0	0	0	0	0	0	1.39506279951758	0	1.38956681176273	0	2.60880924267552	3.80838505065609	0	3.24640808724638	0	0	0	0	0	0
"OR52A4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5AN1"	0	0	0.0840642647884745	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB129"	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GAGE12F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T34"	0	0.214124805352847	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR10T2"	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4F6"	0	0	0.0840642647884745	0	0	0	0	0	0	0.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRGPRX1"	1.30451104180995	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937
"OR6C68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HES3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0.22650852980868	0
"OR8G2"	0	0.0565835283663675	0.613531652917927	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584962500721156	0	0	0
"OR6B1"	0	0	0	0	0	0	0	0	0	0	0	1.29278174922785	0	2.83794324189103	0	0	1.40053792958373	0	0	0	0	0	0	2.29865831556452	0	1.23878685958712	0	0	1.52606881166759	2.3305584000308	0	0	0	0	0	0	0	0	1.59931779369823	3.17791779219584	0	2.59931779369823	0	1.63691458035588	1.42223300068305	0	0	0	0	0	0
"OR6C70"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRM2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62760683812965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31034012061215	0	0	0	0	0	0	0
"CT47B1"	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4F15"	0	0.111031312388744	0.0840642647884745	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP12.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CXorf51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0.263034405833794	0	1.13093086982645
"CLDN22"	5.01480160235136	0.0143552929770701	0.0285691521967709	0.0426443374084937	0.16349873228288	0.16349873228288	5.29682445864937	6.69529790115733	0.0976107966264223	0	0	5.11270013274936	6.42475416700455	4.96716860753263	5.95837871156634	5.33913738491959	6.92398108175045	4.48478262307787	6.56071495447448	5.95396359887078	5.79207446192887	5.87921563716567	5.6915341649192	6.09676785471469	7.03573386705259	5.51664555778096	5.35508676166836	6.49233391454472	5.41040894985104	3.99457972421575	5.03342300153745	0.0565835283663675	0	0.0565835283663675	0.0285691521967709	0.0143552929770701	0	3.22032995487956	4.63517394667492	6.09761079662642	3.08236196955747	6.43229133824778	3.55336050333533	3.5981269599196	3.6915341649192	0	0	0	0	1.02147972741045	0
"PRNT"	0	0.0285691521967709	0.0565835283663675	0	0.0426443374084937	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53605290024021	1.20789285164133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPBWR2"	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	1.27500704749987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948600847493356	0	0	0	0	0	0	0	1.31614574229336	0	0	0	0	0	0	0	0	0	0	0	0	0
"CRYGC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NKX2.4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LEUTX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HSFYL1"	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.678071905112638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286881147788162	0
"CETN1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FKSG83"	0	0	0	0	0	0	0	0	0	0	0	0	2.09085343045111	0	0	0	0	0	0	0	0	1.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AGBL1"	0	0	0.0565835283663675	0	0.0426443374084937	0	0	0	0.0143552929770701	0.0426443374084937	0	0	0	0	0	0	0	0	0	0.659924558402378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	1.46988597627446	0	0	0	1.32768736417605	0	0	0	0	0	0.0143552929770701	0.0285691521967709
"KRTAP11.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR56A5"	0	0	0	0	0.111031312388744	0	0	0	0.070389327891398	0	0	4.08065766334523	2.37573453858316	0	0	0	2.55826763405574	0	0	0	0	0	0	2.29278174922785	1.25701061820602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0.070389327891398	0.0976107966264223	0	0
"PSG1"	2.16027483140859	0.0976107966264223	0	0	0	0	0	0	0	0	0.0565835283663675	0.782408564927373	0	3.56193705962243	0	1.4905701304462	3.65191274464578	3.03738222200308	0	2.85399564717639	2.78240856492737	1.84398384404833	0	0	0.594548549550354	0	0	0	0	2.96901230751632	2.61588707391606	0	0	0	0	0	0	0	3.58014548442338	1.86789646399265	0.933572638261024	2.96347412397489	1.48026512205446	0.807354922057604	1.48542682717024	0	0	0	0	0	0.0426443374084937
"C3orf77"	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HTR1A"	0	0	0	0	0	0.070389327891398	0	0	0	0.0565835283663675	0	0	0	0	1.87970576628229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0
"PRDM9"	0	0.0565835283663675	0	0	0.0976107966264223	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEACAM20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0.0840642647884745	0	0.0426443374084937	0
"OR4C3"	0	0.150559676575381	0.150559676575381	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RBPJL"	0	0.0143552929770701	0	0	0	0.0285691521967709	1.43295940727611	2.23878685958712	0.0285691521967709	0	0	0	0	0.604071323668861	0	0	0	0	0	0	1.83187724119167	0.650764559116902	0.739848102699327	0	1.25096157353322	2.32481060342048	1.58014548442338	0	0	0	0	0	0	0	0	0	0	0	0	1.04264433740849	0.970853654340484	2.11769504266975	1.20789285164133	2.23878685958712	1.66902676550963	0	0	0	0	0.367371065648529	0.0976107966264223
"C6orf10"	2.32192809488736	0.070389327891398	0.16349873228288	0	0.189033824390017	0	3.05484847699562	0	0.070389327891398	0.0426443374084937	0	0	1.6915341649192	3.18269229751619	0	0	0.790772037862	0	0	1.25701061820602	2.36737106564853	2.48800077083407	0.925999418556223	1.4594316186373	0	3.09423606984577	0	1.4276061727819	2.30158764660319	1.09085343045111	0	0.321928094887362	0	0	0	0	0	1.28688114778816	3.39506279951758	4.53356334821451	2.46988597627446	3.31903981556254	0	3.34198574722862	4.32984117653063	0	0	0	0	0	0
"NF1P1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98550043030488	0	0	0	0	1.56071495447448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.782408564927373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SGCZ"	0	0.0426443374084937	0	0	0	0.333423733725192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0.0426443374084937	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C21orf99"	0	0.0143552929770701	0.0285691521967709	0	0.238786859587116	0.0426443374084937	0.485426827170242	0	0.0285691521967709	0	0	0	0	0.807354922057604	0	0	0	0	0	0	0	1.05658352836637	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0.0143552929770701	0	0.0285691521967709	0.0285691521967709	0	0	0.464668267003444	0	0	0	0	0	0	0	0	0	0	0
"C14orf70"	0	0	0	0	0.111031312388744	0.0565835283663675	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTF1A"	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM30"	0	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0.0565835283663675	0	0	0	0	0	0.485426827170242	0	0	0	0	0	0	2.10768786931437	0	1.87184364850932	0.963474123974886	0	1.06350294230616	0.823749360308273	0	0	0.526068811667588	1.0071955014042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0.0285691521967709	0.0143552929770701	0	0	0
"C8A"	0	0	0	0.0285691521967709	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356143810225275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0.0285691521967709
"LOC150185"	0	0	0	0	0.124328135002202	0.124328135002202	0	0	0.594548549550354	0	0	0	0	1.65992455840238	0	0	0	0	0	0	1.05658352836637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM75A3"	0	0	0.0143552929770701	0	0.124328135002202	0	0	0	0.22650852980868	0	0	0	0	0	0	0	0.389566811762726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33913738491959	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709
"FAM9B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL1F10"	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07724299893246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SH2D7"	1.44360665147561	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0.75702324650746	0	0	0	1.14404636961671	0	0	0	0.823749360308273	0.925999418556223	0.910732661902913	2.41953889151378	0	1.22650852980868	0	0	0	0	0.526068811667588	0.0976107966264223	0	0.0426443374084937	0.20163386116965	0.176322772640463	0	0	1.28095631383106	2.46466826700344	0	0	0	0	0	0	0	0	0.0426443374084937	0
"GSG1"	3.05831649559082	0.0285691521967709	0.070389327891398	0	0.20163386116965	0.0565835283663675	1.39506279951758	3.40190347160796	0	0.070389327891398	0.0565835283663675	3.39369076418745	3.01613970265525	2.62527048937469	1.89530262133331	3.43962313755712	2.28392177230762	3.72465027173297	4.25625587320273	2.56803210477128	2.70043971814109	2.91456452349394	4.40394936423287	3.61353165291793	1.57531233068744	2.27500704749987	3.4541758931858	1.32192809488736	0	2.85199883711245	1.85996954822103	0	0	0	0.0565835283663675	0	0.0565835283663675	2.27500704749987	3.11935617703968	3.80219321694183	4.86492897228979	2.71808758396052	3.60644222813161	4.69320814891002	2.86195536414487	0.0285691521967709	0	0	0.0426443374084937	0	0
"C16orf92"	0	0	0	0	0	0	1.60880924267552	1.86393845042397	0	0	0	0	1.81147103052984	0	0	5.43596189543763	0	3.16349873228288	0	3.36176835941915	0	3.20476675065461	0	0	2.114367024952	0	0	0	1.6959938131099	1.76128527336162	3.84297883178833	0	0	0	0	0	0	0	4.34482849699744	0	3.85897561429202	5.83693401132109	3.10936055940423	0	5.36632221424582	0	0	0	0	0	0
"IFIT1B"	2.56803210477128	0.070389327891398	0.0285691521967709	0	0.22650852980868	0	2.47767732756531	0	0.0840642647884745	0	0.887525270741587	1.18269229751619	1.87970576628229	0	0.855989697308481	0	0.765534746362977	0	0	0.739848102699327	0.863938450423971	2.27500704749987	0	2.37851162325373	0	2.48542682717024	0.713695814843359	0	0.831877241191673	0	0	0.0565835283663675	0	0	0	0	0	0.75702324650746	1.44360665147561	2.83995958748953	2.03210084316702	2.40599235967584	0.641546029087524	1.85598969730848	1.63691458035588	0	0	0	0	0.070389327891398	0.0285691521967709
"LOC285692"	0	0	0	0	0	0.0426443374084937	0	0	0	0.0426443374084937	0	0	3.5197934862411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0.0976107966264223	0	0
"PCGEM1"	0	0	0	0	0.0565835283663675	0	0	1.14404636961671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM55A"	1.51601514700366	0.0565835283663675	0	0	0	0	0.871843648509318	0	0.0285691521967709	0	0	1.25096157353322	2.33342373372519	2.44360665147561	0.941106310946431	2.4594316186373	2.30158764660319	2.09423606984577	0	0.807354922057604	3.07895134139482	2.11103131238874	2.28095631383106	3.24792751344359	1.59454854955035	0.713695814843359	0.773996325111173	1.70043971814109	1.4541758931858	1.76977173924945	0.918386234446348	0	0	0.0285691521967709	0.0426443374084937	0	0	0	1.97452931248388	3.24944534108584	0	2.33628338786443	0.6959938131099	1.56559717585423	0	0	0.0426443374084937	0	0	0	0
"ADAM2"	0	0.0285691521967709	0	0	0	0	0	0.895302621333307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948600847493356	0.111031312388744	0.575312330687437	0	0.669026765509631	0	0	0	0.545968369105292	0	0	0	0	0	0	0	0	0	0
"C16orf82"	0	0.0143552929770701	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	1.13093086982645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0.613531652917927	0	0.970853654340484	0	0	0	0	0	0	0	0
"PKHD1L1"	0	0.0143552929770701	0.0143552929770701	0.0285691521967709	0.0976107966264223	0.0285691521967709	0.250961573533219	0	0.0426443374084937	0.0143552929770701	0.0976107966264223	0.111031312388744	0	0.765534746362977	0	0.150559676575381	0.124328135002202	0	1.15055967657538	0.124328135002202	1.49569516262407	0.464668267003444	0	0.526068811667588	0	0.20163386116965	0	0	1.97085365434048	0	0	0.111031312388744	0.0285691521967709	0.389566811762726	0.411426245726465	0.0976107966264223	0.070389327891398	0.238786859587116	0	0.344828496997441	0.31034012061215	0.124328135002202	0.526068811667588	0.150559676575381	0.238786859587116	0.0840642647884745	0.333423733725192	0.286881147788162	0.176322772640463	0.0285691521967709	0.0285691521967709
